stock_id,date,margin_bal,short_bal
0050,2026-07-20,59230.0,0.0
0051,2026-07-20,3.0,0.0
0052,2026-07-20,12598.0,107.0
0053,2026-07-20,14.0,0.0
0055,2026-07-20,101.0,0.0
0056,2026-07-20,10604.0,0.0
0057,2026-07-20,0.0,0.0
0061,2026-07-20,15.0,0.0
006203,2026-07-20,0.0,0.0
006204,2026-07-20,0.0,0.0
006205,2026-07-20,79.0,1.0
006206,2026-07-20,10.0,0.0
006207,2026-07-20,2.0,0.0
006208,2026-07-20,422.0,0.0
00636,2026-07-20,149.0,0.0
00639,2026-07-20,492.0,7.0
00643,2026-07-20,948.0,0.0
00645,2026-07-20,20.0,0.0
00646,2026-07-20,74.0,2.0
00652,2026-07-20,48.0,0.0
00657,2026-07-20,11.0,0.0
00660,2026-07-20,0.0,0.0
00661,2026-07-20,70.0,0.0
00662,2026-07-20,1289.0,10.0
00668,2026-07-20,0.0,0.0
00678,2026-07-20,26.0,0.0
00690,2026-07-20,88.0,0.0
00692,2026-07-20,97.0,0.0
00700,2026-07-20,168.0,0.0
00701,2026-07-20,18.0,0.0
00702,2026-07-20,1.0,0.0
00703,2026-07-20,19.0,0.0
00709,2026-07-20,4.0,0.0
00712,2026-07-20,13582.0,13.0
00713,2026-07-20,156.0,0.0
00714,2026-07-20,2.0,0.0
00717,2026-07-20,0.0,0.0
00728,2026-07-20,2.0,0.0
00730,2026-07-20,6.0,0.0
00731,2026-07-20,2.0,0.0
00733,2026-07-20,127.0,0.0
00735,2026-07-20,3742.0,24.0
00736,2026-07-20,0.0,0.0
00737,2026-07-20,50.0,0.0
00739,2026-07-20,0.0,0.0
00752,2026-07-20,627.0,11.0
00757,2026-07-20,272.0,16.0
00762,2026-07-20,66.0,0.0
00770,2026-07-20,44.0,0.0
00771,2026-07-20,1.0,0.0
00783,2026-07-20,349.0,0.0
00830,2026-07-20,5322.0,626.0
00850,2026-07-20,14.0,0.0
00851,2026-07-20,2.0,0.0
00861,2026-07-20,28.0,0.0
00875,2026-07-20,1.0,0.0
00876,2026-07-20,17.0,0.0
00878,2026-07-20,2640.0,34.0
00881,2026-07-20,1435.0,4.0
00882,2026-07-20,3315.0,15.0
00885,2026-07-20,630.0,133.0
00891,2026-07-20,5136.0,34.0
00892,2026-07-20,2027.0,14.0
00893,2026-07-20,71.0,23.0
00894,2026-07-20,621.0,21.0
00895,2026-07-20,69.0,8.0
00896,2026-07-20,1627.0,0.0
00897,2026-07-20,281.0,0.0
00898,2026-07-20,120.0,0.0
00899,2026-07-20,65.0,0.0
00900,2026-07-20,390.0,3.0
00901,2026-07-20,3.0,0.0
00902,2026-07-20,2481.0,11.0
00903,2026-07-20,20.0,0.0
00904,2026-07-20,621.0,6.0
00905,2026-07-20,462.0,0.0
00907,2026-07-20,697.0,0.0
00908,2026-07-20,0.0,0.0
00909,2026-07-20,1091.0,22.0
00910,2026-07-20,2197.0,9.0
00911,2026-07-20,154.0,0.0
00912,2026-07-20,165.0,0.0
00913,2026-07-20,1348.0,9.0
00915,2026-07-20,37.0,0.0
00916,2026-07-20,660.0,0.0
00917,2026-07-20,83.0,0.0
00918,2026-07-20,4337.0,35.0
00919,2026-07-20,8074.0,115.0
00920,2026-07-20,28.0,0.0
00921,2026-07-20,1.0,0.0
00922,2026-07-20,1673.0,4.0
00923,2026-07-20,216.0,0.0
00924,2026-07-20,142.0,0.0
00926,2026-07-20,21.0,0.0
00927,2026-07-20,16609.0,20.0
00929,2026-07-20,6179.0,0.0
00930,2026-07-20,22.0,0.0
00932,2026-07-20,72.0,0.0
00934,2026-07-20,695.0,0.0
00935,2026-07-20,5615.0,79.0
00936,2026-07-20,15.0,0.0
00938,2026-07-20,7.0,0.0
00939,2026-07-20,170.0,0.0
00940,2026-07-20,1482.0,84.0
00941,2026-07-20,242.0,1.0
00943,2026-07-20,27.0,0.0
00944,2026-07-20,9.0,0.0
00946,2026-07-20,548.0,0.0
00947,2026-07-20,5187.0,12.0
00949,2026-07-20,78.0,0.0
00951,2026-07-20,1188.0,12.0
00952,2026-07-20,669.0,0.0
00954,2026-07-20,1557.0,2.0
00956,2026-07-20,78.0,0.0
00960,2026-07-20,71.0,0.0
00961,2026-07-20,2760.0,0.0
00962,2026-07-20,111.0,0.0
00963,2026-07-20,9.0,0.0
00964,2026-07-20,52.0,0.0
00965,2026-07-20,1703.0,41.0
00971,2026-07-20,15.0,0.0
00972,2026-07-20,2.0,0.0
009800,2026-07-20,1451.0,21.0
009801,2026-07-20,21.0,0.0
009802,2026-07-20,1077.0,2.0
009803,2026-07-20,437.0,10.0
009804,2026-07-20,1058.0,0.0
009805,2026-07-20,16077.0,0.0
009808,2026-07-20,44.0,0.0
009809,2026-07-20,5.0,0.0
009810,2026-07-20,2.0,0.0
009811,2026-07-20,74.0,35.0
009812,2026-07-20,4.0,0.0
009813,2026-07-20,77.0,0.0
009816,2026-07-20,35160.0,585.0
009817,2026-07-20,105.0,0.0
009818,2026-07-20,12.0,0.0
009819,2026-07-20,5342.0,60.0
009820,2026-07-20,2793.0,5.0
009821,2026-07-20,10435.0,1320.0
009824,2026-07-20,2660.0,0.0
1101,2026-07-20,34536.0,95.0
1102,2026-07-20,1330.0,0.0
1103,2026-07-20,4119.0,0.0
1104,2026-07-20,1584.0,0.0
1108,2026-07-20,451.0,44.0
1109,2026-07-20,276.0,0.0
1110,2026-07-20,2752.0,0.0
1201,2026-07-20,1505.0,0.0
1203,2026-07-20,3.0,0.0
1210,2026-07-20,567.0,6.0
1213,2026-07-20,0.0,0.0
1215,2026-07-20,414.0,2.0
1216,2026-07-20,488.0,8.0
1217,2026-07-20,941.0,3.0
1218,2026-07-20,1483.0,128.0
1219,2026-07-20,511.0,105.0
1220,2026-07-20,862.0,0.0
1225,2026-07-20,6933.0,10.0
1227,2026-07-20,933.0,0.0
1229,2026-07-20,3049.0,10.0
1231,2026-07-20,242.0,0.0
1232,2026-07-20,309.0,0.0
1233,2026-07-20,19.0,0.0
1234,2026-07-20,15.0,0.0
1235,2026-07-20,1175.0,0.0
1236,2026-07-20,184.0,0.0
1256,2026-07-20,343.0,12.0
1301,2026-07-20,26048.0,509.0
1303,2026-07-20,39443.0,1291.0
1304,2026-07-20,13114.0,0.0
1305,2026-07-20,7059.0,0.0
1307,2026-07-20,1356.0,1.0
1308,2026-07-20,6618.0,0.0
1309,2026-07-20,8727.0,0.0
1310,2026-07-20,14709.0,33.0
1312,2026-07-20,29792.0,74.0
1313,2026-07-20,11100.0,153.0
1314,2026-07-20,82149.0,261.0
1315,2026-07-20,15.0,0.0
1316,2026-07-20,10937.0,26.0
1319,2026-07-20,6837.0,24.0
1321,2026-07-20,7217.0,0.0
1323,2026-07-20,80.0,0.0
1324,2026-07-20,1277.0,0.0
1325,2026-07-20,2182.0,15.0
1326,2026-07-20,34957.0,774.0
1337,2026-07-20,21380.0,0.0
1338,2026-07-20,3899.0,0.0
1339,2026-07-20,845.0,0.0
1340,2026-07-20,994.0,0.0
1342,2026-07-20,623.0,1.0
1402,2026-07-20,7597.0,84.0
1409,2026-07-20,23977.0,295.0
1410,2026-07-20,312.0,0.0
1413,2026-07-20,0.0,0.0
1414,2026-07-20,1179.0,0.0
1416,2026-07-20,3304.0,0.0
1417,2026-07-20,1887.0,0.0
1418,2026-07-20,762.0,0.0
1419,2026-07-20,1218.0,0.0
1423,2026-07-20,87.0,0.0
1432,2026-07-20,163.0,38.0
1434,2026-07-20,7749.0,64.0
1435,2026-07-20,0.0,0.0
1436,2026-07-20,962.0,0.0
1437,2026-07-20,2263.0,0.0
1438,2026-07-20,156.0,0.0
1439,2026-07-20,1061.0,0.0
1440,2026-07-20,5642.0,3.0
1441,2026-07-20,0.0,0.0
1442,2026-07-20,2946.0,8.0
1443,2026-07-20,31.0,0.0
1444,2026-07-20,570.0,0.0
1445,2026-07-20,1393.0,1.0
1446,2026-07-20,1648.0,2.0
1447,2026-07-20,931.0,0.0
1449,2026-07-20,3117.0,0.0
1451,2026-07-20,759.0,0.0
1452,2026-07-20,108.0,0.0
1453,2026-07-20,1009.0,1.0
1454,2026-07-20,2168.0,0.0
1455,2026-07-20,3185.0,80.0
1456,2026-07-20,769.0,0.0
1457,2026-07-20,711.0,1.0
1459,2026-07-20,488.0,0.0
1460,2026-07-20,0.0,0.0
1463,2026-07-20,486.0,0.0
1464,2026-07-20,2071.0,0.0
1465,2026-07-20,3297.0,0.0
1466,2026-07-20,2917.0,48.0
1467,2026-07-20,6211.0,13.0
1468,2026-07-20,0.0,0.0
1470,2026-07-20,6.0,0.0
1471,2026-07-20,0.0,0.0
1472,2026-07-20,3901.0,2.0
1473,2026-07-20,846.0,0.0
1474,2026-07-20,3381.0,0.0
1475,2026-07-20,455.0,0.0
1476,2026-07-20,933.0,16.0
1477,2026-07-20,1539.0,4.0
1503,2026-07-20,3052.0,0.0
1504,2026-07-20,31031.0,105.0
1506,2026-07-20,0.0,0.0
1512,2026-07-20,0.0,0.0
1513,2026-07-20,7951.0,23.0
1514,2026-07-20,6736.0,530.0
1515,2026-07-20,3151.0,144.0
1516,2026-07-20,2.0,0.0
1517,2026-07-20,2078.0,14.0
1519,2026-07-20,3319.0,13.0
1521,2026-07-20,448.0,0.0
1522,2026-07-20,4325.0,1.0
1524,2026-07-20,4267.0,15.0
1525,2026-07-20,232.0,0.0
1526,2026-07-20,702.0,17.0
1527,2026-07-20,563.0,0.0
1528,2026-07-20,6774.0,57.0
1529,2026-07-20,2989.0,0.0
1530,2026-07-20,291.0,0.0
1531,2026-07-20,1725.0,1.0
1532,2026-07-20,2735.0,0.0
1533,2026-07-20,473.0,9.0
1535,2026-07-20,77.0,0.0
1536,2026-07-20,8351.0,166.0
1537,2026-07-20,56.0,0.0
1538,2026-07-20,0.0,0.0
1539,2026-07-20,1374.0,0.0
1540,2026-07-20,1696.0,3.0
1541,2026-07-20,113.0,0.0
1558,2026-07-20,242.0,0.0
1560,2026-07-20,1586.0,29.0
1563,2026-07-20,7307.0,2.0
1568,2026-07-20,2547.0,0.0
1582,2026-07-20,4219.0,8.0
1583,2026-07-20,66.0,0.0
1587,2026-07-20,1944.0,22.0
1589,2026-07-20,793.0,0.0
1590,2026-07-20,112.0,0.0
1597,2026-07-20,2746.0,22.0
1598,2026-07-20,2091.0,0.0
1603,2026-07-20,2146.0,10.0
1604,2026-07-20,227.0,0.0
1605,2026-07-20,53395.0,632.0
1608,2026-07-20,8069.0,0.0
1609,2026-07-20,13548.0,22.0
1611,2026-07-20,3297.0,5.0
1612,2026-07-20,1876.0,55.0
1614,2026-07-20,343.0,0.0
1615,2026-07-20,193.0,0.0
1616,2026-07-20,3212.0,0.0
1617,2026-07-20,2163.0,0.0
1618,2026-07-20,3655.0,31.0
1626,2026-07-20,1668.0,0.0
1702,2026-07-20,300.0,0.0
1707,2026-07-20,354.0,20.0
1708,2026-07-20,6999.0,64.0
1709,2026-07-20,13886.0,28.0
1710,2026-07-20,12166.0,296.0
1711,2026-07-20,18740.0,81.0
1712,2026-07-20,456.0,0.0
1713,2026-07-20,3002.0,1.0
1714,2026-07-20,14070.0,185.0
1717,2026-07-20,20855.0,263.0
1718,2026-07-20,16124.0,458.0
1720,2026-07-20,331.0,0.0
1721,2026-07-20,127.0,0.0
1722,2026-07-20,2660.0,4.0
1723,2026-07-20,677.0,1.0
1725,2026-07-20,279.0,0.0
1726,2026-07-20,25.0,0.0
1727,2026-07-20,7613.0,119.0
1730,2026-07-20,4.0,0.0
1731,2026-07-20,318.0,0.0
1732,2026-07-20,624.0,0.0
1733,2026-07-20,2640.0,1.0
1734,2026-07-20,509.0,0.0
1735,2026-07-20,767.0,0.0
1736,2026-07-20,2113.0,4.0
1737,2026-07-20,22.0,0.0
1752,2026-07-20,328.0,0.0
1760,2026-07-20,1055.0,0.0
1762,2026-07-20,758.0,2.0
1773,2026-07-20,1216.0,2.0
1776,2026-07-20,871.0,1.0
1783,2026-07-20,565.0,0.0
1786,2026-07-20,5043.0,11.0
1789,2026-07-20,3268.0,0.0
1795,2026-07-20,8864.0,34.0
1802,2026-07-20,46503.0,934.0
1805,2026-07-20,1408.0,0.0
1806,2026-07-20,2966.0,0.0
1808,2026-07-20,5682.0,0.0
1809,2026-07-20,6105.0,0.0
1810,2026-07-20,24667.0,457.0
1817,2026-07-20,17.0,0.0
1903,2026-07-20,2532.0,5.0
1904,2026-07-20,4647.0,26.0
1905,2026-07-20,12325.0,344.0
1906,2026-07-20,7264.0,0.0
1907,2026-07-20,24242.0,2.0
1909,2026-07-20,9751.0,1.0
2002,2026-07-20,46767.0,2.0
2006,2026-07-20,1057.0,1.0
2007,2026-07-20,5.0,0.0
2008,2026-07-20,121.0,0.0
2009,2026-07-20,6626.0,2.0
2010,2026-07-20,2067.0,5.0
2012,2026-07-20,194.0,0.0
2013,2026-07-20,1410.0,3.0
2014,2026-07-20,1725.0,0.0
2015,2026-07-20,40.0,0.0
2017,2026-07-20,8189.0,1.0
2020,2026-07-20,791.0,0.0
2022,2026-07-20,1149.0,1.0
2023,2026-07-20,2862.0,34.0
2024,2026-07-20,64.0,0.0
2025,2026-07-20,0.0,0.0
2027,2026-07-20,24797.0,22.0
2028,2026-07-20,1183.0,0.0
2029,2026-07-20,393.0,0.0
2030,2026-07-20,4242.0,0.0
2031,2026-07-20,906.0,6.0
2032,2026-07-20,2698.0,0.0
2033,2026-07-20,2727.0,5.0
2034,2026-07-20,3665.0,0.0
2038,2026-07-20,3637.0,20.0
2049,2026-07-20,3514.0,30.0
2059,2026-07-20,465.0,3.0
2062,2026-07-20,1367.0,2.0
2069,2026-07-20,446.0,0.0
2101,2026-07-20,22211.0,15.0
2102,2026-07-20,3893.0,2.0
2103,2026-07-20,15867.0,110.0
2104,2026-07-20,19840.0,56.0
2105,2026-07-20,8880.0,13.0
2106,2026-07-20,2929.0,0.0
2107,2026-07-20,108.0,0.0
2108,2026-07-20,2831.0,38.0
2109,2026-07-20,648.0,0.0
2114,2026-07-20,6.0,0.0
2115,2026-07-20,560.0,3.0
2201,2026-07-20,10094.0,10.0
2204,2026-07-20,1133.0,0.0
2206,2026-07-20,4418.0,0.0
2207,2026-07-20,72.0,0.0
2208,2026-07-20,0.0,0.0
2211,2026-07-20,414.0,11.0
2228,2026-07-20,1694.0,0.0
2231,2026-07-20,2842.0,146.0
2233,2026-07-20,5262.0,4.0
2236,2026-07-20,11394.0,13.0
2239,2026-07-20,1554.0,0.0
2241,2026-07-20,8200.0,4.0
2243,2026-07-20,1421.0,18.0
2247,2026-07-20,118.0,1.0
2248,2026-07-20,573.0,8.0
2250,2026-07-20,1309.0,2.0
2254,2026-07-20,2518.0,0.0
2301,2026-07-20,17204.0,196.0
2302,2026-07-20,3522.0,146.0
2303,2026-07-20,213376.0,2265.0
2305,2026-07-20,7011.0,143.0
2308,2026-07-20,7680.0,30.0
2312,2026-07-20,48811.0,1477.0
2313,2026-07-20,41992.0,3669.0
2314,2026-07-20,0.0,0.0
2316,2026-07-20,3516.0,9.0
2317,2026-07-20,56794.0,157.0
2321,2026-07-20,0.0,0.0
2323,2026-07-20,29524.0,76.0
2324,2026-07-20,58476.0,712.0
2327,2026-07-20,40776.0,947.0
2328,2026-07-20,18471.0,41.0
2329,2026-07-20,16332.0,293.0
2330,2026-07-20,32548.0,123.0
2331,2026-07-20,10445.0,15.0
2332,2026-07-20,22803.0,790.0
2337,2026-07-20,93847.0,3062.0
2338,2026-07-20,6393.0,29.0
2340,2026-07-20,9211.0,46.0
2342,2026-07-20,4717.0,59.0
2344,2026-07-20,136418.0,1865.0
2345,2026-07-20,1410.0,7.0
2347,2026-07-20,682.0,4.0
2348,2026-07-20,2486.0,0.0
2349,2026-07-20,0.0,0.0
2351,2026-07-20,14254.0,25.0
2352,2026-07-20,16146.0,0.0
2353,2026-07-20,41327.0,2327.0
2354,2026-07-20,25817.0,26.0
2355,2026-07-20,10721.0,0.0
2356,2026-07-20,30235.0,124.0
2357,2026-07-20,2310.0,7.0
2359,2026-07-20,7080.0,53.0
2360,2026-07-20,1136.0,1.0
2362,2026-07-20,2405.0,3.0
2363,2026-07-20,17905.0,158.0
2364,2026-07-20,719.0,0.0
2365,2026-07-20,9177.0,57.0
2367,2026-07-20,31321.0,811.0
2368,2026-07-20,4349.0,286.0
2369,2026-07-20,13755.0,111.0
2371,2026-07-20,50839.0,325.0
2373,2026-07-20,45.0,0.0
2374,2026-07-20,18119.0,40.0
2375,2026-07-20,6798.0,183.0
2376,2026-07-20,8031.0,555.0
2377,2026-07-20,13126.0,379.0
2379,2026-07-20,2783.0,21.0
2380,2026-07-20,0.0,0.0
2382,2026-07-20,12378.0,422.0
2383,2026-07-20,1610.0,20.0
2385,2026-07-20,3311.0,21.0
2387,2026-07-20,1333.0,0.0
2388,2026-07-20,11492.0,223.0
2390,2026-07-20,1913.0,2.0
2392,2026-07-20,4712.0,1.0
2393,2026-07-20,2688.0,15.0
2395,2026-07-20,1745.0,43.0
2397,2026-07-20,1660.0,0.0
2399,2026-07-20,12048.0,150.0
2401,2026-07-20,8604.0,121.0
2402,2026-07-20,13711.0,118.0
2404,2026-07-20,2267.0,2.0
2405,2026-07-20,8174.0,7.0
2406,2026-07-20,13418.0,364.0
2408,2026-07-20,86024.0,640.0
2409,2026-07-20,209343.0,20582.0
2412,2026-07-20,2978.0,148.0
2413,2026-07-20,4504.0,39.0
2414,2026-07-20,540.0,0.0
2415,2026-07-20,2362.0,2.0
2417,2026-07-20,3743.0,4.0
2419,2026-07-20,6637.0,3.0
2420,2026-07-20,1210.0,2.0
2421,2026-07-20,5373.0,32.0
2423,2026-07-20,661.0,0.0
2424,2026-07-20,0.0,0.0
2425,2026-07-20,4002.0,5.0
2426,2026-07-20,12879.0,128.0
2427,2026-07-20,5442.0,51.0
2428,2026-07-20,2447.0,11.0
2429,2026-07-20,2206.0,0.0
2430,2026-07-20,81.0,7.0
2431,2026-07-20,1651.0,0.0
2432,2026-07-20,324.0,0.0
2433,2026-07-20,29.0,0.0
2434,2026-07-20,435.0,204.0
2436,2026-07-20,6324.0,178.0
2438,2026-07-20,0.0,0.0
2439,2026-07-20,3686.0,133.0
2440,2026-07-20,1620.0,0.0
2441,2026-07-20,8395.0,317.0
2442,2026-07-20,4099.0,0.0
2444,2026-07-20,0.0,0.0
2449,2026-07-20,20403.0,29.0
2450,2026-07-20,75.0,0.0
2451,2026-07-20,5497.0,107.0
2453,2026-07-20,2495.0,1.0
2454,2026-07-20,9379.0,35.0
2455,2026-07-20,8550.0,48.0
2457,2026-07-20,15229.0,27.0
2458,2026-07-20,3494.0,87.0
2459,2026-07-20,101.0,0.0
2460,2026-07-20,293.0,0.0
2461,2026-07-20,8818.0,0.0
2462,2026-07-20,2546.0,0.0
2464,2026-07-20,13037.0,1199.0
2465,2026-07-20,3345.0,70.0
2466,2026-07-20,6093.0,421.0
2467,2026-07-20,2022.0,27.0
2468,2026-07-20,3430.0,1.0
2471,2026-07-20,1314.0,0.0
2472,2026-07-20,5891.0,23.0
2474,2026-07-20,10717.0,8.0
2476,2026-07-20,39340.0,2.0
2477,2026-07-20,1146.0,45.0
2478,2026-07-20,7558.0,14.0
2480,2026-07-20,354.0,0.0
2481,2026-07-20,11375.0,557.0
2482,2026-07-20,1832.0,12.0
2483,2026-07-20,1791.0,23.0
2484,2026-07-20,15502.0,705.0
2485,2026-07-20,13753.0,276.0
2486,2026-07-20,22991.0,143.0
2488,2026-07-20,472.0,0.0
2489,2026-07-20,34129.0,216.0
2491,2026-07-20,2297.0,10.0
2492,2026-07-20,9336.0,24.0
2493,2026-07-20,8717.0,21.0
2495,2026-07-20,8882.0,0.0
2496,2026-07-20,45.0,0.0
2497,2026-07-20,3516.0,3.0
2498,2026-07-20,29707.0,924.0
2501,2026-07-20,4488.0,2.0
2504,2026-07-20,4501.0,0.0
2505,2026-07-20,3381.0,0.0
2506,2026-07-20,1842.0,1.0
2509,2026-07-20,547.0,1.0
2511,2026-07-20,3315.0,1.0
2514,2026-07-20,18084.0,0.0
2515,2026-07-20,25907.0,41.0
2516,2026-07-20,0.0,0.0
2520,2026-07-20,3008.0,7.0
2524,2026-07-20,3192.0,0.0
2527,2026-07-20,4430.0,65.0
2528,2026-07-20,6575.0,0.0
2530,2026-07-20,6699.0,3.0
2534,2026-07-20,11974.0,52.0
2535,2026-07-20,292.0,8.0
2536,2026-07-20,6550.0,0.0
2537,2026-07-20,3812.0,1.0
2538,2026-07-20,2491.0,0.0
2539,2026-07-20,2153.0,0.0
2540,2026-07-20,2722.0,7.0
2542,2026-07-20,5884.0,230.0
2543,2026-07-20,10783.0,22.0
2545,2026-07-20,2766.0,0.0
2546,2026-07-20,69.0,0.0
2547,2026-07-20,9408.0,1.0
2548,2026-07-20,2282.0,0.0
2597,2026-07-20,166.0,0.0
2601,2026-07-20,410.0,0.0
2603,2026-07-20,15795.0,210.0
2605,2026-07-20,12626.0,11.0
2606,2026-07-20,3786.0,11.0
2607,2026-07-20,841.0,1.0
2608,2026-07-20,1415.0,1.0
2609,2026-07-20,34422.0,282.0
2610,2026-07-20,49480.0,105.0
2611,2026-07-20,2063.0,1.0
2612,2026-07-20,1839.0,9.0
2613,2026-07-20,2067.0,3.0
2614,2026-07-20,5704.0,1.0
2615,2026-07-20,17447.0,185.0
2616,2026-07-20,494.0,2.0
2617,2026-07-20,2395.0,5.0
2618,2026-07-20,28785.0,197.0
2630,2026-07-20,7203.0,119.0
2633,2026-07-20,1765.0,98.0
2634,2026-07-20,28487.0,522.0
2636,2026-07-20,666.0,21.0
2637,2026-07-20,2340.0,33.0
2642,2026-07-20,585.0,3.0
2645,2026-07-20,3234.0,9.0
2646,2026-07-20,3718.0,23.0
2701,2026-07-20,379.0,0.0
2702,2026-07-20,421.0,0.0
2704,2026-07-20,120.0,0.0
2705,2026-07-20,574.0,0.0
2706,2026-07-20,799.0,0.0
2707,2026-07-20,123.0,0.0
2712,2026-07-20,7.0,0.0
2722,2026-07-20,332.0,0.0
2723,2026-07-20,1705.0,1.0
